                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.3347,                0.91361,                 1.3219,                0.81896,                0.61204,                0.71533,                 0.4336,                 1.2648,                0.80362,                 1.2741,              0.0090666,              0.0090666,              0.0090666
                     36,                 1.3357,                0.91283,                 1.3192,                0.81959,                0.61366,                0.71733,                 0.4353,                 1.2613,                0.80049,                 1.2709,              0.0090383,              0.0090383,              0.0090383
                     37,                 1.3331,                0.90972,                 1.3159,                0.81995,                0.61448,                0.71807,                0.43576,                 1.2598,                0.79852,                 1.2695,                0.00901,                0.00901,                0.00901
                     38,                 1.3289,                0.90751,                 1.3176,                0.81972,                0.61471,                0.71853,                0.43632,                 1.2584,                0.79662,                 1.2689,              0.0089817,              0.0089817,              0.0089817
                     39,                 1.3318,                0.90792,                 1.3156,                0.81974,                0.61628,                0.71918,                 0.4374,                 1.2551,                  0.795,                 1.2665,              0.0089534,              0.0089534,              0.0089534
                     40,                 1.3276,                0.90285,                 1.3105,                0.82002,                0.61681,                0.71974,                0.43805,                 1.2529,                0.79361,                  1.265,              0.0089251,              0.0089251,              0.0089251
                     41,                 1.3199,                0.89923,                 1.3086,                0.82081,                0.61764,                0.72008,                0.43916,                 1.2498,                0.79107,                 1.2621,              0.0088969,              0.0088969,              0.0088969
                     42,                 1.3182,                0.89694,                 1.3079,                0.82154,                0.61877,                0.72133,                0.43975,                 1.2482,                0.78929,                  1.261,              0.0088686,              0.0088686,              0.0088686
                     43,                 1.3186,                0.89686,                 1.3069,                0.82311,                0.61843,                0.72206,                0.44048,                 1.2465,                0.78754,                 1.2596,              0.0088403,              0.0088403,              0.0088403
                     44,                 1.3182,                0.89606,                 1.3028,                0.82178,                0.61998,                0.72297,                0.44137,                 1.2457,                0.78627,                 1.2576,               0.008812,               0.008812,               0.008812
                     45,                 1.3159,                0.89472,                 1.3046,                 0.8223,                0.62064,                0.72333,                0.44177,                 1.2446,                0.78474,                 1.2566,              0.0087837,              0.0087837,              0.0087837
                     46,                 1.3139,                 0.8935,                 1.3007,                 0.8234,                0.62137,                0.72395,                0.44249,                 1.2428,                 0.7825,                 1.2553,              0.0087554,              0.0087554,              0.0087554
                     47,                 1.3139,                0.89279,                 1.3012,                0.82341,                0.62148,                0.72431,                0.44277,                 1.2414,                0.78121,                 1.2543,              0.0087271,              0.0087271,              0.0087271
                     48,                 1.3132,                0.89023,                 1.2993,                0.82329,                0.62242,                0.72489,                0.44345,                 1.2396,                0.78001,                  1.253,              0.0086989,              0.0086989,              0.0086989
                     49,                 1.3103,                0.88742,                    1.3,                0.82393,                0.62327,                0.72603,                0.44426,                 1.2383,                0.77846,                  1.252,              0.0086706,              0.0086706,              0.0086706
                     50,                 1.3097,                 0.8872,                 1.2985,                0.82367,                0.62397,                0.72651,                 0.4446,                 1.2373,                0.77748,                 1.2513,              0.0086423,              0.0086423,              0.0086423
                     51,                 1.3088,                0.88868,                 1.2965,                0.82436,                0.62407,                0.72685,                0.44518,                 1.2358,                0.77649,                 1.2498,               0.008614,               0.008614,               0.008614
                     52,                 1.3051,                0.88435,                 1.2961,                0.82508,                0.62461,                0.72738,                0.44564,                 1.2349,                0.77539,                  1.249,              0.0085857,              0.0085857,              0.0085857
                     53,                 1.3073,                0.88596,                  1.294,                0.82595,                0.62485,                0.72781,                0.44624,                 1.2339,                0.77435,                 1.2479,              0.0085574,              0.0085574,              0.0085574
                     54,                 1.3057,                0.88107,                 1.2932,                0.82647,                0.62512,                0.72815,                0.44652,                 1.2329,                0.77316,                 1.2468,              0.0085291,              0.0085291,              0.0085291
                     55,                 1.3045,                0.88139,                  1.292,                0.82504,                 0.6265,                0.72844,                0.44691,                 1.2317,                0.77183,                 1.2458,              0.0085009,              0.0085009,              0.0085009
                     56,                 1.3001,                0.87799,                 1.2907,                0.82632,                0.62648,                0.72898,                0.44717,                  1.231,                0.77056,                 1.2453,              0.0084726,              0.0084726,              0.0084726
                     57,                 1.3026,                0.88028,                 1.2909,                0.82607,                0.62692,                0.72933,                0.44754,                 1.2301,                0.76961,                 1.2446,              0.0084443,              0.0084443,              0.0084443
                     58,                 1.2979,                0.87576,                 1.2895,                 0.8259,                 0.6274,                 0.7296,                0.44791,                 1.2296,                0.76862,                 1.2441,               0.008416,               0.008416,               0.008416
                     59,                 1.2984,                0.87408,                 1.2868,                0.82608,                0.62764,                0.72978,                0.44802,                  1.229,                0.76772,                 1.2434,              0.0083877,              0.0083877,              0.0083877
                     60,                 1.3013,                0.87888,                 1.2895,                0.82625,                0.62778,                0.72985,                0.44825,                 1.2282,                0.76712,                  1.243,              0.0083594,              0.0083594,              0.0083594
                     61,                 1.2969,                0.87534,                 1.2883,                0.82635,                0.62837,                 0.7301,                0.44855,                 1.2274,                0.76643,                 1.2424,              0.0083311,              0.0083311,              0.0083311
                     62,                 1.2933,                0.87342,                 1.2862,                0.82792,                0.62761,                 0.7303,                0.44889,                 1.2267,                0.76599,                 1.2418,              0.0083029,              0.0083029,              0.0083029
                     63,                 1.2961,                0.87282,                 1.2836,                0.82836,                0.62731,                0.73031,                 0.4491,                  1.226,                0.76532,                 1.2411,              0.0082746,              0.0082746,              0.0082746
                     64,                  1.293,                0.87404,                 1.2842,                0.82814,                0.62768,                0.73059,                0.44942,                 1.2252,                0.76483,                 1.2405,              0.0082463,              0.0082463,              0.0082463
                     65,                 1.2925,                0.87022,                 1.2828,                0.82851,                0.62794,                0.73085,                0.44969,                 1.2248,                0.76422,                 1.2401,               0.008218,               0.008218,               0.008218
                     66,                 1.2918,                0.87117,                 1.2822,                0.82781,                0.62859,                0.73092,                0.44992,                 1.2241,                0.76371,                 1.2395,              0.0081897,              0.0081897,              0.0081897
                     67,                 1.2897,                0.86927,                 1.2812,                0.82811,                0.62863,                0.73111,                0.45013,                 1.2235,                0.76326,                  1.239,              0.0081614,              0.0081614,              0.0081614
                     68,                 1.2881,                0.86707,                 1.2805,                0.82726,                0.62935,                0.73132,                0.45035,                 1.2229,                0.76274,                 1.2385,              0.0081331,              0.0081331,              0.0081331
                     69,                 1.2896,                0.86942,                 1.2796,                0.82873,                0.62863,                0.73145,                0.45054,                 1.2224,                0.76227,                 1.2381,              0.0081049,              0.0081049,              0.0081049
                     70,                 1.2881,                0.86662,                  1.279,                0.82741,                 0.6295,                0.73171,                 0.4508,                 1.2218,                0.76173,                 1.2375,              0.0080766,              0.0080766,              0.0080766
                     71,                 1.2903,                0.86737,                 1.2796,                0.82792,                 0.6294,                0.73171,                0.45096,                 1.2213,                0.76135,                 1.2371,              0.0080483,              0.0080483,              0.0080483
                     72,                 1.2827,                0.86399,                 1.2772,                 0.8282,                0.62949,                0.73186,                0.45118,                 1.2208,                0.76092,                 1.2368,                0.00802,                0.00802,                0.00802
                     73,                 1.2827,                0.86569,                 1.2764,                0.82864,                0.62929,                0.73182,                0.45134,                 1.2203,                0.76054,                 1.2364,              0.0079917,              0.0079917,              0.0079917
                     74,                 1.2837,                0.86325,                 1.2763,                0.82916,                0.62926,                0.73195,                0.45149,                 1.2198,                0.76034,                 1.2359,              0.0079634,              0.0079634,              0.0079634
                     75,                 1.2839,                0.86132,                 1.2746,                0.82893,                0.62967,                0.73221,                 0.4518,                 1.2193,                 0.7598,                 1.2355,              0.0079351,              0.0079351,              0.0079351
                     76,                 1.2785,                0.85937,                 1.2743,                 0.8294,                0.62965,                0.73226,                0.45188,                  1.219,                0.75934,                 1.2351,              0.0079069,              0.0079069,              0.0079069
                     77,                 1.2799,                0.85952,                 1.2724,                0.82942,                0.62965,                0.73236,                0.45209,                 1.2186,                0.75898,                 1.2348,              0.0078786,              0.0078786,              0.0078786
                     78,                   1.28,                0.86161,                 1.2748,                0.82947,                0.62971,                0.73257,                0.45222,                 1.2182,                0.75858,                 1.2345,              0.0078503,              0.0078503,              0.0078503
                     79,                 1.2794,                0.85892,                 1.2709,                 0.8298,                0.62968,                0.73275,                0.45239,                  1.218,                0.75824,                 1.2341,               0.007822,               0.007822,               0.007822
                     80,                 1.2779,                0.86032,                 1.2709,                0.83027,                0.62959,                0.73291,                0.45266,                 1.2174,                0.75797,                 1.2336,              0.0077937,              0.0077937,              0.0077937
                     81,                 1.2774,                0.85826,                 1.2711,                0.83002,                   0.63,                0.73306,                0.45286,                 1.2171,                0.75755,                 1.2333,              0.0077654,              0.0077654,              0.0077654
                     82,                 1.2755,                0.85823,                 1.2708,                0.83013,                 0.6301,                0.73323,                0.45296,                 1.2168,                 0.7572,                  1.233,              0.0077371,              0.0077371,              0.0077371
                     83,                  1.277,                0.85577,                 1.2691,                0.83048,                0.63027,                0.73341,                0.45317,                 1.2165,                0.75679,                 1.2327,              0.0077089,              0.0077089,              0.0077089
                     84,                  1.277,                0.85614,                 1.2689,                0.83076,                0.63038,                0.73365,                0.45343,                 1.2162,                0.75648,                 1.2323,              0.0076806,              0.0076806,              0.0076806
                     85,                 1.2754,                0.85376,                 1.2692,                0.83082,                0.63053,                0.73375,                0.45354,                  1.216,                 0.7561,                  1.232,              0.0076523,              0.0076523,              0.0076523
                     86,                 1.2751,                0.85404,                 1.2668,                0.83097,                0.63058,                0.73386,                0.45372,                 1.2156,                0.75586,                 1.2316,               0.007624,               0.007624,               0.007624
                     87,                 1.2736,                0.85258,                 1.2659,                0.83059,                  0.631,                0.73392,                0.45385,                 1.2153,                0.75559,                 1.2313,              0.0075957,              0.0075957,              0.0075957
                     88,                 1.2714,                0.84894,                 1.2627,                0.83093,                0.63092,                0.73402,                0.45405,                  1.215,                0.75528,                  1.231,              0.0075674,              0.0075674,              0.0075674
                     89,                 1.2676,                0.84996,                 1.2639,                0.83001,                0.63172,                0.73426,                0.45414,                 1.2148,                0.75489,                 1.2307,              0.0075391,              0.0075391,              0.0075391
                     90,                 1.2669,                0.84685,                 1.2638,                 0.8303,                0.63183,                0.73437,                0.45434,                 1.2145,                0.75468,                 1.2303,              0.0075109,              0.0075109,              0.0075109
                     91,                 1.2697,                0.84918,                 1.2631,                0.83046,                0.63172,                0.73449,                 0.4545,                 1.2142,                0.75445,                   1.23,              0.0074826,              0.0074826,              0.0074826
                     92,                 1.2682,                0.84721,                 1.2597,                0.83019,                0.63191,                0.73455,                0.45466,                 1.2139,                0.75409,                 1.2296,              0.0074543,              0.0074543,              0.0074543
                     93,                 1.2701,                0.84978,                  1.262,                0.83098,                0.63146,                0.73461,                0.45479,                 1.2134,                0.75387,                 1.2292,               0.007426,               0.007426,               0.007426
                     94,                 1.2671,                0.84892,                  1.261,                0.83034,                0.63186,                0.73474,                0.45493,                  1.213,                0.75367,                 1.2288,              0.0073977,              0.0073977,              0.0073977
                     95,                 1.2681,                0.85093,                 1.2637,                0.83067,                0.63191,                0.73486,                  0.455,                 1.2127,                0.75333,                 1.2285,              0.0073694,              0.0073694,              0.0073694
                     96,                 1.2704,                0.85145,                 1.2602,                0.83062,                0.63224,                0.73504,                 0.4552,                 1.2123,                0.75318,                 1.2281,              0.0073411,              0.0073411,              0.0073411
                     97,                 1.2641,                0.84377,                 1.2592,                0.83104,                0.63212,                0.73518,                0.45525,                 1.2121,                0.75283,                 1.2278,              0.0073129,              0.0073129,              0.0073129
                     98,                 1.2677,                0.84681,                 1.2594,                0.83133,                0.63204,                0.73527,                0.45546,                 1.2116,                0.75248,                 1.2274,              0.0072846,              0.0072846,              0.0072846
                     99,                 1.2666,                0.84604,                  1.259,                0.83156,                0.63205,                0.73539,                0.45553,                 1.2113,                0.75217,                  1.227,              0.0072563,              0.0072563,              0.0072563
                    100,                 1.2636,                0.84201,                 1.2586,                0.83028,                0.63286,                0.73557,                0.45563,                 1.2108,                0.75192,                 1.2266,               0.007228,               0.007228,               0.007228
                    101,                 1.2677,                0.84684,                 1.2583,                0.83081,                 0.6326,                0.73565,                0.45571,                 1.2105,                 0.7517,                 1.2262,              0.0071997,              0.0071997,              0.0071997
                    102,                 1.2567,                0.83919,                 1.2541,                0.83048,                0.63282,                0.73569,                0.45591,                 1.2102,                0.75129,                 1.2259,              0.0071714,              0.0071714,              0.0071714
                    103,                 1.2601,                0.84236,                 1.2552,                 0.8308,                 0.6327,                0.73574,                0.45607,                 1.2098,                0.75107,                 1.2256,              0.0071431,              0.0071431,              0.0071431
                    104,                 1.2634,                0.84576,                  1.258,                0.83138,                 0.6324,                0.73577,                0.45608,                 1.2097,                0.75074,                 1.2254,              0.0071149,              0.0071149,              0.0071149
                    105,                 1.2613,                0.84189,                 1.2565,                0.83149,                 0.6324,                 0.7358,                0.45618,                 1.2094,                0.75056,                 1.2251,              0.0070866,              0.0070866,              0.0070866
                    106,                 1.2565,                0.83957,                 1.2525,                0.83119,                0.63255,                 0.7358,                0.45632,                 1.2091,                 0.7504,                 1.2247,              0.0070583,              0.0070583,              0.0070583
                    107,                 1.2577,                0.83867,                 1.2547,                0.83157,                 0.6324,                0.73591,                0.45647,                 1.2086,                 0.7501,                 1.2243,                0.00703,                0.00703,                0.00703
                    108,                 1.2577,                0.84092,                 1.2547,                0.83142,                0.63228,                0.73582,                0.45656,                 1.2084,                0.74978,                  1.224,              0.0070017,              0.0070017,              0.0070017
                    109,                  1.262,                0.84173,                 1.2543,                0.83186,                0.63232,                0.73605,                0.45662,                 1.2082,                 0.7495,                 1.2237,              0.0069734,              0.0069734,              0.0069734
                    110,                 1.2564,                 0.8388,                 1.2525,                0.83053,                0.63306,                0.73624,                0.45682,                 1.2079,                0.74924,                 1.2234,              0.0069451,              0.0069451,              0.0069451
                    111,                 1.2611,                0.83999,                 1.2526,                0.83206,                0.63233,                0.73631,                0.45696,                 1.2076,                0.74899,                 1.2231,              0.0069169,              0.0069169,              0.0069169
                    112,                 1.2577,                0.83857,                 1.2522,                0.83087,                0.63313,                 0.7363,                0.45699,                 1.2073,                0.74872,                 1.2228,              0.0068886,              0.0068886,              0.0068886
                    113,                  1.257,                0.83714,                 1.2496,                0.83029,                0.63345,                0.73648,                0.45713,                 1.2071,                0.74852,                 1.2226,              0.0068603,              0.0068603,              0.0068603
                    114,                 1.2563,                0.83712,                 1.2504,                 0.8305,                0.63346,                0.73659,                0.45724,                 1.2068,                0.74832,                 1.2222,               0.006832,               0.006832,               0.006832
                    115,                 1.2571,                0.83791,                  1.251,                0.83062,                0.63359,                0.73668,                0.45733,                 1.2065,                0.74812,                  1.222,              0.0068037,              0.0068037,              0.0068037
                    116,                 1.2551,                0.83686,                 1.2517,                0.83018,                  0.634,                0.73683,                0.45737,                 1.2062,                0.74792,                 1.2216,              0.0067754,              0.0067754,              0.0067754
                    117,                 1.2553,                0.83435,                  1.247,                0.83051,                0.63384,                0.73696,                0.45748,                  1.206,                0.74754,                 1.2213,              0.0067471,              0.0067471,              0.0067471
                    118,                 1.2524,                0.83527,                 1.2505,                0.83108,                0.63367,                0.73712,                0.45766,                 1.2055,                 0.7473,                 1.2208,              0.0067189,              0.0067189,              0.0067189
                    119,                 1.2564,                0.83434,                 1.2476,                0.83075,                0.63371,                0.73707,                0.45782,                 1.2053,                0.74705,                 1.2206,              0.0066906,              0.0066906,              0.0066906
                    120,                 1.2495,                0.83306,                 1.2472,                0.83114,                0.63365,                0.73728,                0.45794,                  1.205,                0.74678,                 1.2202,              0.0066623,              0.0066623,              0.0066623
                    121,                 1.2525,                0.83249,                 1.2473,                0.83065,                0.63405,                0.73747,                0.45808,                 1.2046,                 0.7464,                 1.2199,               0.006634,               0.006634,               0.006634
                    122,                 1.2546,                0.83439,                  1.247,                0.83117,                0.63375,                0.73759,                0.45829,                 1.2043,                0.74617,                 1.2195,              0.0066057,              0.0066057,              0.0066057
                    123,                 1.2515,                0.83345,                 1.2483,                0.83183,                0.63358,                0.73769,                0.45839,                  1.204,                0.74586,                 1.2191,              0.0065774,              0.0065774,              0.0065774
                    124,                 1.2558,                0.83578,                 1.2495,                0.83228,                0.63353,                0.73789,                0.45849,                 1.2038,                0.74563,                 1.2188,              0.0065491,              0.0065491,              0.0065491
                    125,                 1.2515,                0.83195,                  1.247,                0.83216,                0.63374,                  0.738,                0.45858,                 1.2036,                0.74529,                 1.2185,              0.0065209,              0.0065209,              0.0065209
                    126,                 1.2494,                0.83134,                 1.2439,                0.83238,                0.63379,                0.73802,                0.45866,                 1.2033,                0.74502,                 1.2182,              0.0064926,              0.0064926,              0.0064926
                    127,                 1.2476,                 0.8312,                 1.2431,                0.83157,                0.63434,                0.73812,                0.45882,                  1.203,                0.74483,                 1.2179,              0.0064643,              0.0064643,              0.0064643
